date,city,latitude,longitude,temperature_c,humidity_percent,wind_speed_mps,day_of_week,hour,is_weekend,day_of_year,pm25
11/02/2019,Montgomery,32.3777,-86.3,11.16,35.9,3.5,0,0,0,42,14.42
12/02/2019,Montgomery,32.3777,-86.3,9.69,69.6,0.5,1,0,0,43,11.82
13/02/2019,Montgomery,32.3777,-86.3,9,73.2,9.3,2,0,0,44,12.93
14/02/2019,Montgomery,32.3777,-86.3,20.92,78.8,9,3,0,0,45,13.18
15/02/2019,Montgomery,32.3777,-86.3,16.56,75.7,8.3,4,0,0,46,13.14
16/02/2019,Montgomery,32.3777,-86.3,6.97,32.2,3.8,5,0,1,47,17.86
17/02/2019,Montgomery,32.3777,-86.3,21.96,51.8,9.2,6,0,1,48,11.38
18/02/2019,Montgomery,32.3777,-86.3,10.71,68.9,0.7,0,0,0,49,9.83
19/02/2019,Montgomery,32.3777,-86.3,15.28,88,3.6,1,0,0,50,10.25
20/02/2019,Montgomery,32.3777,-86.3,6.76,44.5,2.3,2,0,0,51,12.48
21/02/2019,Montgomery,32.3777,-86.3,23.05,71.4,2.7,3,0,0,52,16.5
22/02/2019,Montgomery,32.3777,-86.3,9.51,61.2,6.8,4,0,0,53,14.09
23/02/2019,Montgomery,32.3777,-86.3,13.37,66.8,3,5,0,1,54,17.32
24/02/2019,Montgomery,32.3777,-86.3,13.85,63.7,4.2,6,0,1,55,12.35
25/02/2019,Montgomery,32.3777,-86.3,14.23,76.1,3.4,0,0,0,56,10.58
26/02/2019,Montgomery,32.3777,-86.3,21.56,71.9,2.6,1,0,0,57,13.82
27/02/2019,Montgomery,32.3777,-86.3,10.82,59.9,4.6,2,0,0,58,16.84
28/02/2019,Montgomery,32.3777,-86.3,12.86,56.5,7.2,3,0,0,59,9.68
01/03/2019,Montgomery,32.3777,-86.3,11.67,55.4,9.2,4,0,0,60,10.29
02/03/2019,Montgomery,32.3777,-86.3,10.86,67.4,9.5,5,0,1,61,11.65
03/03/2019,Montgomery,32.3777,-86.3,8.72,45.5,8.2,6,0,1,62,17.46
04/03/2019,Montgomery,32.3777,-86.3,13.97,57.5,9.8,0,0,0,63,10.93
05/03/2019,Montgomery,32.3777,-86.3,20.36,41.7,2.1,1,0,0,64,13.2
06/03/2019,Montgomery,32.3777,-86.3,8.74,72.9,7.5,2,0,0,65,14.73
07/03/2019,Montgomery,32.3777,-86.3,15.6,84.3,4.3,3,0,0,66,9.35
08/03/2019,Montgomery,32.3777,-86.3,25.56,75.8,3.1,4,0,0,67,11.18
09/03/2019,Montgomery,32.3777,-86.3,13.22,85.6,4.4,5,0,1,68,10
10/03/2019,Montgomery,32.3777,-86.3,8.22,54.3,9.9,6,0,1,69,11.7
11/03/2019,Montgomery,32.3777,-86.3,25.88,53.5,1.9,0,0,0,70,9.83
12/03/2019,Montgomery,32.3777,-86.3,21.17,67.9,2.7,1,0,0,71,19.04
13/03/2019,Montgomery,32.3777,-86.3,8.53,47.5,2.5,2,0,0,72,17.15
14/03/2019,Montgomery,32.3777,-86.3,7.97,73.8,7.2,3,0,0,73,15.03
15/03/2019,Montgomery,32.3777,-86.3,17.98,66.1,9.7,4,0,0,74,12.21
16/03/2019,Montgomery,32.3777,-86.3,13.6,62.5,6.1,5,0,1,75,16.68
17/03/2019,Montgomery,32.3777,-86.3,20.42,45.3,2.4,6,0,1,76,14.38
18/03/2019,Montgomery,32.3777,-86.3,24.44,69.1,5.1,0,0,0,77,17.18
19/03/2019,Montgomery,32.3777,-86.3,9.76,55.6,2.9,1,0,0,78,17.06
20/03/2019,Montgomery,32.3777,-86.3,9.54,70.2,0.9,2,0,0,79,15.49
21/03/2019,Montgomery,32.3777,-86.3,24.95,61.1,5.4,3,0,0,80,12.02
22/03/2019,Montgomery,32.3777,-86.3,23.02,39.4,8.4,4,0,0,81,9.63
23/03/2019,Montgomery,32.3777,-86.3,23.02,43.6,1.5,5,0,1,82,13.55
24/03/2019,Montgomery,32.3777,-86.3,24.35,76.3,1.6,6,0,1,83,12.88
25/03/2019,Montgomery,32.3777,-86.3,27.57,63.1,3,0,0,0,84,10.49
26/03/2019,Montgomery,32.3777,-86.3,23.41,43.5,8.3,1,0,0,85,14.68
27/03/2019,Montgomery,32.3777,-86.3,18.54,42.1,3.7,2,0,0,86,13.44
28/03/2019,Montgomery,32.3777,-86.3,16.44,38.4,3.7,3,0,0,87,11.35
29/03/2019,Montgomery,32.3777,-86.3,20.37,87.2,7.9,4,0,0,88,9.38
30/03/2019,Montgomery,32.3777,-86.3,22.45,52.7,6.6,5,0,1,89,14.21
31/03/2019,Montgomery,32.3777,-86.3,23.87,75.8,1.5,6,0,1,90,18.24
01/04/2019,Montgomery,32.3777,-86.3,25.81,66.6,7.4,0,0,0,91,13.1
02/04/2019,Montgomery,32.3777,-86.3,8.55,57.9,4.5,1,0,0,92,13.93
03/04/2019,Montgomery,32.3777,-86.3,25.71,44.9,1.7,2,0,0,93,15.37
04/04/2019,Montgomery,32.3777,-86.3,17.4,67.6,8.8,3,0,0,94,10.32
05/04/2019,Montgomery,32.3777,-86.3,9.74,56.7,7.9,4,0,0,95,16.46
06/04/2019,Montgomery,32.3777,-86.3,20.73,66.4,8.4,5,0,1,96,14.58
07/04/2019,Montgomery,32.3777,-86.3,25.94,35.9,5.8,6,0,1,97,16.52
08/04/2019,Montgomery,32.3777,-86.3,25.24,36,5.6,0,0,0,98,15.17
09/04/2019,Montgomery,32.3777,-86.3,10.53,53.7,9.5,1,0,0,99,15.48
10/04/2019,Montgomery,32.3777,-86.3,21.6,54.2,5.9,2,0,0,100,9.85
11/04/2019,Montgomery,32.3777,-86.3,17.34,67.8,6.6,3,0,0,101,14.1
12/04/2019,Montgomery,32.3777,-86.3,26.99,82.1,5.6,4,0,0,102,12.63
13/04/2019,Montgomery,32.3777,-86.3,12.18,39.3,6.5,5,0,1,103,15.71
14/04/2019,Montgomery,32.3777,-86.3,23.51,62,2.1,6,0,1,104,10.42
15/04/2019,Montgomery,32.3777,-86.3,24.76,59.9,0.6,0,0,0,105,13.14
16/04/2019,Montgomery,32.3777,-86.3,21.59,78.5,1.7,1,0,0,106,12.84
17/04/2019,Montgomery,32.3777,-86.3,8.45,45.8,4.1,2,0,0,107,19.33
18/04/2019,Montgomery,32.3777,-86.3,13.88,39.7,5.6,3,0,0,108,15.64
19/04/2019,Montgomery,32.3777,-86.3,9.88,31.6,4.4,4,0,0,109,10.6
20/04/2019,Montgomery,32.3777,-86.3,19.34,82.6,2.9,5,0,1,110,11.22
21/04/2019,Montgomery,32.3777,-86.3,11.5,63.3,6.8,6,0,1,111,15.01
22/04/2019,Montgomery,32.3777,-86.3,27.88,36.3,4.8,0,0,0,112,15.19
23/04/2019,Montgomery,32.3777,-86.3,19.44,73.5,4.2,1,0,0,113,13
24/04/2019,Montgomery,32.3777,-86.3,15.73,66.8,3.7,2,0,0,114,17.86
25/04/2019,Montgomery,32.3777,-86.3,21.74,71.8,9.1,3,0,0,115,11.46
26/04/2019,Montgomery,32.3777,-86.3,22.16,46.9,7.1,4,0,0,116,14.64
27/04/2019,Montgomery,32.3777,-86.3,26.14,33.9,1.8,5,0,1,117,17.91
28/04/2019,Montgomery,32.3777,-86.3,9.17,49,0.8,6,0,1,118,16.13
29/04/2019,Montgomery,32.3777,-86.3,17.81,76.5,4.7,0,0,0,119,18.02
30/04/2019,Montgomery,32.3777,-86.3,20.56,78.8,1.1,1,0,0,120,13.7
01/05/2019,Montgomery,32.3777,-86.3,14.65,54.2,2.8,2,0,0,121,13.43
02/05/2019,Montgomery,32.3777,-86.3,11.35,31.2,3.4,3,0,0,122,15.91
03/05/2019,Montgomery,32.3777,-86.3,22.22,51,3.7,4,0,0,123,9.45
04/05/2019,Montgomery,32.3777,-86.3,26.86,34.5,8.4,5,0,1,124,15.83
05/05/2019,Montgomery,32.3777,-86.3,20.03,60.5,1,6,0,1,125,17.32
06/05/2019,Montgomery,32.3777,-86.3,21.89,79.1,7.7,0,0,0,126,12.94
07/05/2019,Montgomery,32.3777,-86.3,17.66,67.9,4.3,1,0,0,127,17.27
08/05/2019,Montgomery,32.3777,-86.3,25.28,36.6,3.9,2,0,0,128,16.98
09/05/2019,Montgomery,32.3777,-86.3,18.51,31.4,3,3,0,0,129,11.19
10/05/2019,Montgomery,32.3777,-86.3,21.42,38.4,0.9,4,0,0,130,16.91
11/05/2019,Montgomery,32.3777,-86.3,19.26,36.2,7.5,5,0,1,131,13.9
12/05/2019,Montgomery,32.3777,-86.3,10.31,57.1,8.5,6,0,1,132,11.06
13/05/2019,Montgomery,32.3777,-86.3,14.55,84,9.1,0,0,0,133,18.93
14/05/2019,Montgomery,32.3777,-86.3,21.06,43.9,7.2,1,0,0,134,18.23
15/05/2019,Montgomery,32.3777,-86.3,26.62,30.3,8.9,2,0,0,135,18.73
16/05/2019,Montgomery,32.3777,-86.3,22.66,63.4,4.9,3,0,0,136,9.89
17/05/2019,Montgomery,32.3777,-86.3,8.84,78.9,2.5,4,0,0,137,10.65
18/05/2019,Montgomery,32.3777,-86.3,12.61,85,7.6,5,0,1,138,17.31
19/05/2019,Montgomery,32.3777,-86.3,24.18,88.9,4.6,6,0,1,139,17.54
20/05/2019,Montgomery,32.3777,-86.3,11.14,80.7,3,0,0,0,140,16.51
21/05/2019,Montgomery,32.3777,-86.3,27.11,77.5,6.8,1,0,0,141,13.93
22/05/2019,Montgomery,32.3777,-86.3,26.38,32.4,0.6,2,0,0,142,12.99
23/05/2019,Montgomery,32.3777,-86.3,18.11,46,8,3,0,0,143,16.52
24/05/2019,Montgomery,32.3777,-86.3,23.68,37.5,2.4,4,0,0,144,9.52
25/05/2019,Montgomery,32.3777,-86.3,19.04,40.8,8.2,5,0,1,145,12.13
26/05/2019,Montgomery,32.3777,-86.3,21.53,60.2,5.6,6,0,1,146,18.7
27/05/2019,Montgomery,32.3777,-86.3,17.51,57,3.4,0,0,0,147,13.21
28/05/2019,Montgomery,32.3777,-86.3,24.21,38.6,8.9,1,0,0,148,17.79
29/05/2019,Montgomery,32.3777,-86.3,26.18,30.3,3.4,2,0,0,149,14.41
30/05/2019,Montgomery,32.3777,-86.3,8.83,42.2,1.1,3,0,0,150,18.24
31/05/2019,Montgomery,32.3777,-86.3,10.78,80.8,6.3,4,0,0,151,13.31
01/06/2019,Montgomery,32.3777,-86.3,11.78,77.7,9.6,5,0,1,152,10.75
02/06/2019,Montgomery,32.3777,-86.3,8.14,69.9,3.5,6,0,1,153,9.29
03/06/2019,Montgomery,32.3777,-86.3,12,56.1,8.6,0,0,0,154,9.74
04/06/2019,Montgomery,32.3777,-86.3,8.31,35.1,2.7,1,0,0,155,17.48
05/06/2019,Montgomery,32.3777,-86.3,21.75,71.2,0.8,2,0,0,156,13.3
06/06/2019,Montgomery,32.3777,-86.3,14.58,30.6,7.3,3,0,0,157,15.48
07/06/2019,Montgomery,32.3777,-86.3,23.22,46.7,6.7,4,0,0,158,9.11
08/06/2019,Montgomery,32.3777,-86.3,17.1,51.3,1.1,5,0,1,159,9.29
09/06/2019,Montgomery,32.3777,-86.3,11.65,59.2,9.5,6,0,1,160,12.22
10/06/2019,Montgomery,32.3777,-86.3,20.4,50.2,8.7,0,0,0,161,11.72
11/06/2019,Montgomery,32.3777,-86.3,26.04,78.3,9.1,1,0,0,162,12.38
12/06/2019,Montgomery,32.3777,-86.3,21.34,45.2,6.8,2,0,0,163,15.37
13/06/2019,Montgomery,32.3777,-86.3,17.45,66.7,4.8,3,0,0,164,10.81
14/06/2019,Montgomery,32.3777,-86.3,18.93,31.9,6.3,4,0,0,165,17.97
15/06/2019,Montgomery,32.3777,-86.3,15.64,84.4,3.1,5,0,1,166,14.25
16/06/2019,Montgomery,32.3777,-86.3,12.68,73.8,2.4,6,0,1,167,8.67
17/06/2019,Montgomery,32.3777,-86.3,19.74,30.5,5.9,0,0,0,168,11.05
18/06/2019,Montgomery,32.3777,-86.3,14.31,50.7,3.8,1,0,0,169,15.61
19/06/2019,Montgomery,32.3777,-86.3,25.44,49.7,6,2,0,0,170,8.35
20/06/2019,Montgomery,32.3777,-86.3,23.29,62,3.2,3,0,0,171,8.65
21/06/2019,Montgomery,32.3777,-86.3,12.93,74.2,7,4,0,0,172,10.02
22/06/2019,Montgomery,32.3777,-86.3,11.6,34.1,7,5,0,1,173,17.27
23/06/2019,Montgomery,32.3777,-86.3,21.77,48,3.9,6,0,1,174,11.06
24/06/2019,Montgomery,32.3777,-86.3,13.64,38.3,9.4,0,0,0,175,17.74
25/06/2019,Montgomery,32.3777,-86.3,17.5,39.8,6.2,1,0,0,176,13.74
26/06/2019,Montgomery,32.3777,-86.3,19.3,35.4,5.1,2,0,0,177,11.73
27/06/2019,Montgomery,32.3777,-86.3,24.22,83.1,8.7,3,0,0,178,9.34
28/06/2019,Montgomery,32.3777,-86.3,25.92,62.6,3.3,4,0,0,179,11.48
29/06/2019,Montgomery,32.3777,-86.3,8.41,54.7,4.2,5,0,1,180,15.65
30/06/2019,Montgomery,32.3777,-86.3,7.97,68.4,1.3,6,0,1,181,14.14
01/07/2019,Montgomery,32.3777,-86.3,11.44,58.6,5.7,0,0,0,182,7.86
02/07/2019,Montgomery,32.3777,-86.3,7.24,79.7,8.2,1,0,0,183,16.56
03/07/2019,Montgomery,32.3777,-86.3,21.24,59.2,5,2,0,0,184,16
04/07/2019,Montgomery,32.3777,-86.3,22.14,64.5,2.3,3,0,0,185,16.1
05/07/2019,Montgomery,32.3777,-86.3,8.35,84.6,6,4,0,0,186,12.82
06/07/2019,Montgomery,32.3777,-86.3,21.95,36,1.1,5,0,1,187,10.34
07/07/2019,Montgomery,32.3777,-86.3,8.49,82,9.3,6,0,1,188,16.31
08/07/2019,Montgomery,32.3777,-86.3,15.71,64.3,8.6,0,0,0,189,13.14
09/07/2019,Montgomery,32.3777,-86.3,10.71,32.9,9.2,1,0,0,190,16.63
10/07/2019,Montgomery,32.3777,-86.3,23.91,59.7,6.5,2,0,0,191,16.29
11/07/2019,Montgomery,32.3777,-86.3,14.48,74.5,4.1,3,0,0,192,9.58
12/07/2019,Montgomery,32.3777,-86.3,15.49,79.2,1.3,4,0,0,193,12.84
13/07/2019,Montgomery,32.3777,-86.3,15,71.2,4.2,5,0,1,194,13.1
14/07/2019,Montgomery,32.3777,-86.3,17.71,76.5,2.7,6,0,1,195,10.42
15/07/2019,Montgomery,32.3777,-86.3,14.76,42.9,7.1,0,0,0,196,13.78
16/07/2019,Montgomery,32.3777,-86.3,17.32,37,8.7,1,0,0,197,16.27
17/07/2019,Montgomery,32.3777,-86.3,17.25,63.1,3.1,2,0,0,198,8.54
18/07/2019,Montgomery,32.3777,-86.3,15.24,87.8,9.5,3,0,0,199,11.21
19/07/2019,Montgomery,32.3777,-86.3,7.23,68,0.7,4,0,0,200,16.21
20/07/2019,Montgomery,32.3777,-86.3,5.19,37.8,3.2,5,0,1,201,9.62
21/07/2019,Montgomery,32.3777,-86.3,19.47,31.3,6.2,6,0,1,202,12.9
22/07/2019,Montgomery,32.3777,-86.3,10.29,83.8,8.7,0,0,0,203,15.8
23/07/2019,Montgomery,32.3777,-86.3,18.27,55.8,3.8,1,0,0,204,16.97
24/07/2019,Montgomery,32.3777,-86.3,18.25,72.1,6.4,2,0,0,205,8.65
25/07/2019,Montgomery,32.3777,-86.3,15.95,85.2,6.2,3,0,0,206,12.39
26/07/2019,Montgomery,32.3777,-86.3,13.03,60.9,5.5,4,0,0,207,8.09
27/07/2019,Montgomery,32.3777,-86.3,18.38,82.6,3.8,5,0,1,208,10.47
28/07/2019,Montgomery,32.3777,-86.3,18.55,76.5,3.2,6,0,1,209,11.14
29/07/2019,Montgomery,32.3777,-86.3,17.63,46.5,9.6,0,0,0,210,12.21
30/07/2019,Montgomery,32.3777,-86.3,21.07,88.8,7.9,1,0,0,211,15.25
31/07/2019,Montgomery,32.3777,-86.3,23.49,64.5,3.4,2,0,0,212,11.56
01/08/2019,Montgomery,32.3777,-86.3,21.14,48.1,7.8,3,0,0,213,10.07
02/08/2019,Montgomery,32.3777,-86.3,7.28,48.7,2,4,0,0,214,12.69
03/08/2019,Montgomery,32.3777,-86.3,5,83.3,5.5,5,0,1,215,6.4
04/08/2019,Montgomery,32.3777,-86.3,21.74,56.1,8.3,6,0,1,216,13.11
05/08/2019,Montgomery,32.3777,-86.3,6.77,65,3.2,0,0,0,217,12.72
06/08/2019,Montgomery,32.3777,-86.3,5.14,65.4,4.2,1,0,0,218,7.68
07/08/2019,Montgomery,32.3777,-86.3,22.96,82.9,3.8,2,0,0,219,12.37
08/08/2019,Montgomery,32.3777,-86.3,10.54,45.4,0.7,3,0,0,220,12.61
09/08/2019,Montgomery,32.3777,-86.3,10.88,75.7,5.7,4,0,0,221,6.08
10/08/2019,Montgomery,32.3777,-86.3,15.15,47.3,4.9,5,0,1,222,11.29
11/08/2019,Montgomery,32.3777,-86.3,10.79,62.8,5.6,6,0,1,223,10.34
12/08/2019,Montgomery,32.3777,-86.3,11.26,49.1,6.2,0,0,0,224,8.04
13/08/2019,Montgomery,32.3777,-86.3,19.1,87.1,9.1,1,0,0,225,6.69
14/08/2019,Montgomery,32.3777,-86.3,17.13,83,9.6,2,0,0,226,7.7
15/08/2019,Montgomery,32.3777,-86.3,10.89,79.4,3.2,3,0,0,227,10.69
16/08/2019,Montgomery,32.3777,-86.3,8.92,68.5,4.6,4,0,0,228,12.35
17/08/2019,Montgomery,32.3777,-86.3,4.7,65,7.6,5,0,1,229,13.85
18/08/2019,Montgomery,32.3777,-86.3,12.39,83.3,9.7,6,0,1,230,10.2
19/08/2019,Montgomery,32.3777,-86.3,7.02,81.1,9.2,0,0,0,231,9.07
20/08/2019,Montgomery,32.3777,-86.3,13.28,38.7,1.5,1,0,0,232,13.71
21/08/2019,Montgomery,32.3777,-86.3,20.3,33.3,3.6,2,0,0,233,9.32
22/08/2019,Montgomery,32.3777,-86.3,6.65,80.8,5.2,3,0,0,234,11.58
23/08/2019,Montgomery,32.3777,-86.3,20.52,32.5,0.6,4,0,0,235,7.74
24/08/2019,Montgomery,32.3777,-86.3,17.28,52.8,8.7,5,0,1,236,13.3
25/08/2019,Montgomery,32.3777,-86.3,11.93,55.4,8.7,6,0,1,237,9.27
26/08/2019,Montgomery,32.3777,-86.3,22.29,76.1,4,0,0,0,238,11.09
27/08/2019,Montgomery,32.3777,-86.3,10.41,50.3,9.3,1,0,0,239,10.2
28/08/2019,Montgomery,32.3777,-86.3,14.65,80.1,6.9,2,0,0,240,7.42
29/08/2019,Montgomery,32.3777,-86.3,17.64,70.5,2.8,3,0,0,241,11.46
30/08/2019,Montgomery,32.3777,-86.3,11.27,66.1,2.9,4,0,0,242,11.06
31/08/2019,Montgomery,32.3777,-86.3,15.34,82.8,2.8,5,0,1,243,11.78
01/09/2019,Montgomery,32.3777,-86.3,2.49,70.6,6.4,6,0,1,244,12.25
02/09/2019,Montgomery,32.3777,-86.3,5.07,60.9,7,0,0,0,245,14.91
03/09/2019,Montgomery,32.3777,-86.3,18.75,45.6,9.9,1,0,0,246,14.14
04/09/2019,Montgomery,32.3777,-86.3,3.55,80.4,0.7,2,0,0,247,9.47
05/09/2019,Montgomery,32.3777,-86.3,19.48,71.5,7.5,3,0,0,248,13.21
06/09/2019,Montgomery,32.3777,-86.3,6.89,56.3,4.2,4,0,0,249,13.34
07/09/2019,Montgomery,32.3777,-86.3,3.23,86.9,7.2,5,0,1,250,11.26
08/09/2019,Montgomery,32.3777,-86.3,17.37,34.1,1.5,6,0,1,251,12.38
09/09/2019,Montgomery,32.3777,-86.3,17.14,42.2,5.5,0,0,0,252,8.99
10/09/2019,Montgomery,32.3777,-86.3,16.54,83.1,4.2,1,0,0,253,6.38
11/09/2019,Montgomery,32.3777,-86.3,17.25,57.9,7.8,2,0,0,254,13.01
12/09/2019,Montgomery,32.3777,-86.3,11.61,67.1,7.3,3,0,0,255,10.75
13/09/2019,Montgomery,32.3777,-86.3,20.55,58.5,3.2,4,0,0,256,9.48
14/09/2019,Montgomery,32.3777,-86.3,10.53,47.7,3,5,0,1,257,5.46
15/09/2019,Montgomery,32.3777,-86.3,7.55,35.9,7.7,6,0,1,258,10.35
16/09/2019,Montgomery,32.3777,-86.3,21.68,31.6,8,0,0,0,259,5.84
17/09/2019,Montgomery,32.3777,-86.3,16.18,61,5.3,1,0,0,260,5.73
18/09/2019,Montgomery,32.3777,-86.3,7.13,63.9,8.6,2,0,0,261,5.12
19/09/2019,Montgomery,32.3777,-86.3,19.3,48.7,9.5,3,0,0,262,13.43
20/09/2019,Montgomery,32.3777,-86.3,9.04,76.6,4.6,4,0,0,263,7.92
21/09/2019,Montgomery,32.3777,-86.3,8.07,42.5,2.1,5,0,1,264,10.52
22/09/2019,Montgomery,32.3777,-86.3,17.34,82.8,9.5,6,0,1,265,9.88
23/09/2019,Montgomery,32.3777,-86.3,8.75,85.1,1.2,0,0,0,266,7.41
24/09/2019,Montgomery,32.3777,-86.3,6.39,75.6,3.3,1,0,0,267,14.4
25/09/2019,Montgomery,32.3777,-86.3,14.54,76.2,5.2,2,0,0,268,5
26/09/2019,Montgomery,32.3777,-86.3,14.71,30.7,8.1,3,0,0,269,5.9
27/09/2019,Montgomery,32.3777,-86.3,14.61,37,9.9,4,0,0,270,8.15
28/09/2019,Montgomery,32.3777,-86.3,10.14,57.3,6.8,5,0,1,271,5.43
29/09/2019,Montgomery,32.3777,-86.3,18.28,40.4,9.6,6,0,1,272,7.49
30/09/2019,Montgomery,32.3777,-86.3,16.43,56.9,7.2,0,0,0,273,5.96
01/10/2019,Montgomery,32.3777,-86.3,6.82,66.9,4.6,1,0,0,274,8.32
02/10/2019,Montgomery,32.3777,-86.3,16.37,79.8,7.3,2,0,0,275,11.31
03/10/2019,Montgomery,32.3777,-86.3,19.68,63.7,6.9,3,0,0,276,12.09
04/10/2019,Montgomery,32.3777,-86.3,15.6,87.7,2.2,4,0,0,277,10.49
05/10/2019,Montgomery,32.3777,-86.3,3.58,61.4,8.2,5,0,1,278,12.95
06/10/2019,Montgomery,32.3777,-86.3,21.31,83.5,5.2,6,0,1,279,14.58
07/10/2019,Montgomery,32.3777,-86.3,5.35,81.2,7,0,0,0,280,8.49
08/10/2019,Montgomery,32.3777,-86.3,19.77,84.7,6.5,1,0,0,281,6.68
09/10/2019,Montgomery,32.3777,-86.3,3.16,79,3.9,2,0,0,282,11.21
10/10/2019,Montgomery,32.3777,-86.3,21.45,65.2,1,3,0,0,283,8.91
11/10/2019,Montgomery,32.3777,-86.3,20.49,46,2.3,4,0,0,284,7.56
12/10/2019,Montgomery,32.3777,-86.3,15.2,47.9,6,5,0,1,285,9.48
13/10/2019,Montgomery,32.3777,-86.3,6.72,35.6,9.4,6,0,1,286,13.79
14/10/2019,Montgomery,32.3777,-86.3,9.46,30.7,3.4,0,0,0,287,12.88
15/10/2019,Montgomery,32.3777,-86.3,9.79,30.6,5.4,1,0,0,288,6.41
16/10/2019,Montgomery,32.3777,-86.3,19.85,53.7,4.9,2,0,0,289,14.42
17/10/2019,Montgomery,32.3777,-86.3,21.01,84.8,8.4,3,0,0,290,4.81
18/10/2019,Montgomery,32.3777,-86.3,3.27,80.3,3.8,4,0,0,291,11.45
19/10/2019,Montgomery,32.3777,-86.3,6.5,75,2.5,5,0,1,292,11.04
20/10/2019,Montgomery,32.3777,-86.3,10.44,37.8,5.1,6,0,1,293,8.82
21/10/2019,Montgomery,32.3777,-86.3,14.17,50.2,0.7,0,0,0,294,9.65
22/10/2019,Montgomery,32.3777,-86.3,12.27,83.5,7.3,1,0,0,295,11.23
23/10/2019,Montgomery,32.3777,-86.3,11.27,32.9,1.8,2,0,0,296,12.22
24/10/2019,Montgomery,32.3777,-86.3,9.97,84.2,6.8,3,0,0,297,13.12
